"seller_id","seller_type","domain","name","is_confidential","version","seller_json_source"
"10970","INTERMEDIARY",NA,"ExMarketPlace FZ LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9692","PUBLISHER","goodmove.media","Good Move S.R.L",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9695","INTERMEDIARY",NA,"HEYMATIC S.R.L.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10818","BOTH","instal.com","Instal.com",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8183","PUBLISHER","libero.it","Italiaonline S.p.A.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8742","PUBLISHER","JobRapido.it","Jobrapido Srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3648","PUBLISHER","diretta.it","LiveSport Media Ltd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9456","PUBLISHER","mediamond.it","Mediamond S.p.a",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10028","BOTH","ilfattoquotidiano.it","Movingup s.r.l.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8650","PUBLISHER","musixmatch.com","Musixmatch S.P.A",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6956","PUBLISHER","performatic.io","Nextology SRL",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2967","INTERMEDIARY","orbyd.com","OZD",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8228","PUBLISHER","piemmeonline.it","Piemme Spa",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2767","INTERMEDIARY","zodiakadvertising.com","Premio",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3488","BOTH","primerealtime.com","Prime Real Time BV",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"4026","PUBLISHER",NA,"Primedia",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10427","PUBLISHER",NA,"Projectadv srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10338","PUBLISHER","rcs.com","RCS MediaGroup S.p.A.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10558","PUBLISHER","smiling.video","Smiling Srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8194","PUBLISHER","sportnetwork.it","Sport Network",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9902","INTERMEDIARY","talksmedia.it","Talks Srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"11052","PUBLISHER",NA,"TC&C srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9135","PUBLISHER","tgadv.it","Tg Adv S.r.l.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9799","INTERMEDIARY",NA,"Triboo Data Analytics",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2376","INTERMEDIARY","turboadv.com","TURBO s.r.l.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9986","INTERMEDIARY","viralize.com","Viralize Srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"956","INTERMEDIARY","zodiakadvertising.com","Zodiak Active",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"1783","BOTH","bandsintown.com","Bandsintown Amplified LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8937","PUBLISHER","boston.com","Boston Globe Media Partners, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9340","PUBLISHER","medianewsgroup.com","Digital First Media",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3754","PUBLISHER","draftkings.com","DraftKings, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"4022","PUBLISHER","gatehousemedia.com","GateHouse Media, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8113","PUBLISHER","hubpages.com","HubPages, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3048","PUBLISHER","internetbrands.com","Internet Brands Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7135","PUBLISHER","liftablemedia.com","Liftable Media Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7090","PUBLISHER","meredith.com","Meredith Corporation",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8614","PUBLISHER","meredith.com","Meredith Local",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3525","PUBLISHER","monster.com","Monster Worldwide Inc",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9382","INTERMEDIARY",NA,"North101Group LLC dba Get To Revenue",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7524","PUBLISHER","novelty.media","Novelty Media",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8182","PUBLISHER","reddit.com","reddit, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8156","PUBLISHER","techtarget.com","Tech Target Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8186","PUBLISHER","maven.io","The Maven Coalition Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9256","PUBLISHER","newsok.com","The Oklahoma Publishing Company",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8652","PUBLISHER","timeinc.com","Time Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8241","PUBLISHER","webmd.com","WebMD LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8273","PUBLISHER","olx.com.br","BOM NEGOCIO ATIVIDADES DE INTERNET LTDA (OLX Brazil)",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8427","PUBLISHER","buscape.com.br","Buscape Company Informação e Tecnologia Ltda.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8167","PUBLISHER","oantagonista.com","MARE CLAUSUM PUBLICACOES LTDA - O Antagonista",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9806","PUBLISHER","zoom.com.br","Mosaico Negocios de Internet AS",NA,"1.0","acdn.adnxs.comsellers1dxandr"
