"seller_id","seller_type","name","domain","is_passthrought","comment","version","seller_json_source"
"8d32fe3f-5731-46b2-8e7b-4b8544c3f603","BOTH","MoMAGIC","momagic.com",NA,NA,"1.0","admixer.net"
"4de92948-14fa-4a8c-8d45-d8b0a05d70b4","BOTH","S&W Media","snw.media",NA,NA,"1.0","admixer.net"
"4aaffa41-f260-4247-abc1-f080d1a60d0c","BOTH","Amli","amlinetwork.com",NA,NA,"1.0","admixer.net"
"a04891ce-f59f-4342-8567-0d9fd69c0369","INTERMEDIARY","Adelement","adelement.com",NA,NA,"1.0","admixer.net"
"7ffc4af8-6fa7-4184-aacb-cad5add3c8d3","BOTH","Imonomy","imonomy.com",NA,NA,"1.0","admixer.net"
"ef6718d6-458c-49bb-86d5-af2619505b6a","BOTH","Airpush","airpush.com",NA,NA,"1.0","admixer.net"
"9828577a-6965-440c-b5b0-37cce6fcf708","INTERMEDIARY","Upzyde","upzyde.com",NA,NA,"1.0","admixer.net"
"f21a28b6-d6f5-4e12-a14a-6b3a05838538","PUBLISHER","Hemang Shah","hostpic.org",NA,NA,"1.0","admixer.net"
"0d4174dc-f071-4a23-8d3b-de4b29b752b1","INTERMEDIARY","Mobgeek","admobgeek.com",NA,NA,"1.0","admixer.net"
"7bd37286-0d25-4911-ace8-c807387b522f","INTERMEDIARY","Xadmob","xadmob.com",NA,NA,"1.0","admixer.net"
"09d23009-7a24-4ce7-9b8e-944883372844","INTERMEDIARY","Mobclixs","mobclixs.com",NA,NA,"1.0","admixer.net"
"7d4227db-14e6-40b2-8485-cb9489d07ddd","INTERMEDIARY","Lemma Technologies","lemmatechnologies.com",NA,NA,"1.0","admixer.net"
"42ada258-0da6-4855-b724-63d03556ab77","INTERMEDIARY","Vaaya Media","vaaya.xyz",NA,NA,"1.0","admixer.net"
"508cf987-7435-42bd-ace9-452df8954f0d","BOTH","Vashoot","vashootads.com",NA,NA,"1.0","admixer.net"
"8e380da6-31ba-488c-939c-290c48d577e4","BOTH","Pubnative","pubnative.net",NA,NA,"1.0","admixer.net"
"b8c43b19-109c-445a-b4f6-ee6b3765af18","INTERMEDIARY","Beachfront","beachfront.com",NA,NA,"1.0","admixer.net"
"6a5a2ee0-0930-45fa-9620-e9e81ba35562","BOTH","Melodong","melodong.com",NA,NA,"1.0","admixer.net"
"745e5ca7-dca4-49aa-a32a-e640267ac53f","BOTH","Mobiuspace","mobiuspace.com",NA,NA,"1.0","admixer.net"
"34ccbbd8-fdac-421d-beba-fb49797ea336","INTERMEDIARY","Whildey.com","Whildey.com",NA,NA,"1.0","admixer.net"
"b3663947-92d1-4477-99ef-c1d68e7e5d0c","PUBLISHER","rtbdemand.com","rtbdemand.com",NA,NA,"1.0","admixer.net"
"8be50399-e86b-4dc1-9ce0-9e0b6f5844f0","BOTH","Aceex","Aceex.com",NA,NA,"1.0","admixer.net"
"aeecf738-2c52-42b8-888c-1973e1b50454","PUBLISHER","Datawrkz Pte Limited","datawrkz.com",NA,NA,"1.0","admixer.net"
"e5b46615-e2c5-4179-9e95-4f3ae526fb0c","INTERMEDIARY","Advinteo RTB","advinteo.com",NA,NA,"1.0","admixer.net"
"6658f9e1-9afc-49ac-8564-29ca2abb48dc","INTERMEDIARY","Peak226","edge.com",NA,NA,"1.0","admixer.net"
"1e238e81-46f3-4457-8ff2-e3e61a9b4415","BOTH","Orbis3","orbis3.com",NA,NA,"1.0","admixer.net"
"5bd2e2cd-df75-49ce-938e-b9fc8ea2af51","INTERMEDIARY","Impression Digital Media","impressiondigitalmedia.com",NA,NA,"1.0","admixer.net"
"6be0c78a-df7d-42d4-8b8a-3e93513caab5","PUBLISHER","Goutham Kanade","wintersuntv.com",NA,NA,"1.0","admixer.net"
"3000ea85-0025-4322-a53e-6a9c9c3c0859","INTERMEDIARY","Readywind","readywind.com",NA,NA,"1.0","admixer.net"
"385c8c8f-3d0e-4477-8d49-db4c555c136c","BOTH","9MediaOnline WEB","9mo.com",NA,NA,"1.0","admixer.net"
"6cb25d54-a1f4-4038-afcb-4ed381a11188","BOTH","Takoomi","Takoomi.com",NA,NA,"1.0","admixer.net"
"7c936ad9-e7ed-4355-89d2-afe8697f72bf","INTERMEDIARY","Gotham","gothamads.com",NA,NA,"1.0","admixer.net"
"65e32b09-b54d-4f19-a8b2-9c03d71faebb","INTERMEDIARY","FMLabsonline","fmlabsonline.com",NA,NA,"1.0","admixer.net"
"3b8fdd59-40b1-4065-8f09-ae939f42ee74","INTERMEDIARY","Mobco","mobcomedia.com",NA,NA,"1.0","admixer.net"
"40c50974-977f-4e34-9759-78d33d321e4f","BOTH","viads","viads.co",NA,NA,"1.0","admixer.net"
"38e99971-76e4-4e6d-9d47-71e9f6220da6","INTERMEDIARY","Iconpeak","iconpeak.com",NA,NA,"1.0","admixer.net"
"180d3528-d1c5-4685-8d83-a5583e0efb26","INTERMEDIARY","Adtiming","adtiming.com",NA,NA,"1.0","admixer.net"
"7af3fb24-35d3-464a-87e0-840788380050","INTERMEDIARY","Ravalads","ravalads.com",NA,NA,"1.0","admixer.net"
"379340e1-4720-4ca9-95c6-3e17e5158ab4","INTERMEDIARY","Pharoscode LLC","pharoscode.co",NA,NA,"1.0","admixer.net"
"93f02d44-b31e-4d67-a284-b3b6f63f5d0b","BOTH","Digital Bidding","digital-bidding.com",NA,NA,"1.0","admixer.net"
"7b80eb6d-a9ad-4ee2-a8f7-9e0e7a4ece36","BOTH","Digital Bidding ortb","digital-bidding.com",NA,NA,"1.0","admixer.net"
"cd204d67-f84d-4fd5-9dd3-f45583140dd8","BOTH","Smarter-Wireless","smarter-wireless.net",NA,NA,"1.0","admixer.net"
"a1994172-b1e6-4954-a770-7707fbc5e5cc","INTERMEDIARY","Adsolut","adsolut.in",NA,NA,"1.0","admixer.net"
"db6f6bee-926e-4b6b-a60f-88547ba0d27b","INTERMEDIARY","Mobilefuse.com","mobilefuse.com",NA,NA,"1.0","admixer.net"
"e5fbacd8-cf1a-476d-900b-dde5ed547faf","INTERMEDIARY","SmartRTB","smrtb.com",NA,NA,"1.0","admixer.net"
"120ed77d-8ad1-4299-aa3b-bea41f49c4b3","INTERMEDIARY","Allinviews.com","allinviews.com",NA,NA,"1.0","admixer.net"
